source_id,source_name,source_type,location_or_url,sensitivity,owner,include_now,include_later,notes
pdf_github_repo_audit_2026_primary,github_repo_audit_22_may_2026.pdf,pdf,https://drive.google.com/file/d/17v1qRaFI6Ia4xxatgo6ITeuFNIa9picM/view,private-medium,Josh,yes,no,Primary/latest Drive copy found. Core repo audit for JoshOS Atlas.
pdf_github_repo_audit_2026_duplicate,github_repo_audit_22_may_2026_DUPLICATE.pdf,pdf,https://drive.google.com/file/d/1zs2lhjv4tpdFMRx9JBuJjz80kOPBSdmg/view,private-medium,Josh,no,yes,Older/duplicate copy; keep only if needed for comparison.
pdf_family_public_threat_model,family_public_information_threat_model.pdf,pdf,https://drive.google.com/file/d/1DkvtpKVYp_TjexKrYfiFmxbna40wPhdg/view,private-high,Josh,yes,no,"Core privacy threat model; use for rules, not public app content."
pdf_sylvie_privacy_audit,sylvie_child_privacy_osint_audit.pdf,pdf,https://drive.google.com/file/d/1t5vQmpMgi-kPDNAHe_jH6kxYUP0J8ePd/view,private-high,Josh,yes,no,Child privacy audit; private only; use to create privacy risks and naming rules.
pdf_elias_privacy_audit,elias_child_privacy_osint_audit.pdf,pdf,https://drive.google.com/file/d/11ofYRrINLM4NR2Yq68aHxBAI4-b9BLFs/view,private-high,Josh,yes,no,Child privacy audit; private only; use to create privacy risks and naming rules.
pdf_joshua_parris_public_osint_audit_1,joshua_parris_public_osint_audit.pdf,pdf,https://drive.google.com/file/d/1NbZjNHd7a9uqvsB09Z-U8fFN1O_iJfgw/view,private-high,Josh,yes,no,Public OSINT/privacy audit copy.
pdf_joshua_parris_public_osint_audit_2,Joshua_Parris_OSINT_Audit.pdf,pdf,https://drive.google.com/file/d/1WBmTIK9t_voliNFvp0KQtL5N7se_DAtO/view,private-high,Josh,no,yes,Possible duplicate/alternate OSINT audit; review before including.
pdf_sylvie_elias_app_design_research_primary,SylvieElias_AppDesign_Research.pdf,pdf,https://drive.google.com/file/d/1W39Np4QXSF1ivtvWz0773NPStQq2oO9p/view,private-high,Josh,yes,no,Latest kids/family app design research found; private only.
pdf_sylvie_elias_app_design_research_duplicate,SylvieElias_AppDesign_Research_DUPLICATE.pdf,pdf,https://drive.google.com/file/d/1LXa6D3Ustb3SHLloTQY62TWp26Fw8rk0/view,private-high,Josh,no,yes,Duplicate/older copy.
pdf_vibe_coding_income_report_2026,vibe_coding_income_report_2026.pdf,pdf,https://drive.google.com/file/d/10oHqjU3jaHqoy3PiBH8u5-0J2ve5dawL/view,private-medium,Josh,yes,no,Passive income/app idea research; useful for app prioritisation.
