source_id,source_name,source_type,location_or_url,sensitivity,owner,include_now,include_later,notes
doc_app_audit_2026,__@App Audit 2026.docx,audit,Google Drive/private upload,private-medium,Josh,yes,no,Core app ecosystem audit
doc_app_links_2026,Pasted text app links / Josh Apps 2026,doc,Google Drive/private upload,private-medium,Josh,yes,no,Live app and repo links numbered for reference
doc_todo_master,TODO_MASTER.md,doc,local/private upload,private-medium,Josh,yes,no,Cross-project backlog with security issues and next actions
doc_computer3_audit,Computer 3 Audit iMac Retina.txt,doc,local/private upload,private-medium,Josh,yes,no,Local machine state / repo paths / dirty trees
doc_github_audit_2026,github_repo_audit_22_may_2026.pdf,audit,Google Drive/private upload,private-medium,Josh,yes,no,Full repo audit May 2026
doc_github_deployment_status,GITHUB_AND_DEPLOYMENT_STATUS.md,doc,local if available,private-medium,Josh,yes,no,Include if available
doc_active_projects,ACTIVE_PROJECTS.md,doc,local if available,private-medium,Josh,yes,no,Include if available
doc_family_public_threat_model,family_public_information_threat_model.pdf,privacy-report,private upload only,private-high,Josh,yes,no,Use for privacy rules only — never for feature content
doc_sylvie_privacy_audit,sylvie_child_privacy_osint_audit.pdf,privacy-report,private upload only,private-high,Josh,yes,no,Use for privacy rules only
doc_elias_privacy_audit,elias_child_privacy_osint_audit.pdf,privacy-report,private upload only,private-high,Josh,yes,no,Use for privacy rules only
repo_joshhub,JoshHub,repo,https://github.com/joshualparris/JoshHub,private-low,Josh,yes,no,Potential canonical hub — investigate
repo_lifehub,LifeHub,repo,https://github.com/joshualparris/LifeHub,private-low,Josh,yes,no,Dashboard overlap with JoshHub
repo_parris_life_dashboard,Parris-Life-Dashboard,repo,https://github.com/joshualparris/Parris-Life-Dashboard,private-low,Josh,yes,no,Dashboard overlap
repo_clearcore,ClearCore,repo,https://github.com/joshualparris/ClearCore,private-low,Josh,yes,no,Dashboard/productivity overlap
repo_appfactory,AppFactory,repo,https://github.com/joshuaparris-max/AppFactory,private-low,Josh,yes,no,AI app builder tool
repo_dcsprep,DCSPrep,repo,https://github.com/joshualparris/DCSPrep,private-medium,Josh,yes,no,Work-related — redact all school/staff/student data
repo_dcscompanion,DCSCompanion,repo,https://github.com/joshuaparris-max/DCSCompanion,private-medium,Josh,yes,no,Work-related — redact all school/staff/student data
repo_avancepd,AvancePD,repo,https://github.com/joshparri/AvancePD,private-medium,Josh,yes,no,Professional development app
repo_avanceprofessionaldevelopment,AvanceProfessionalDevelopment,repo,https://github.com/joshparri/AvanceProfessionalDevelopment,private-medium,Josh,yes,no,Likely duplicate of AvancePD
repo_workapp,WorkApp,repo,https://github.com/joshualparris/WorkApp,private-medium,Josh,yes,no,Has known CI/deploy failure email
repo_healthlens,HealthLens,repo,https://github.com/joshualparris/HealthLens,private-high,Josh,yes,no,Health-related — architecture only; no raw health data
repo_parrisbudget,ParrisBudgetApp,repo,https://github.com/joshuaparris-max/ParrisBudgetApp,private-medium,Josh,yes,no,Finance learning only — no bank statements
repo_parristechapp,ParrisTechApp,repo,https://github.com/joshualparris/ParrisTechApp,private-low,Josh,yes,no,Tech/service app
repo_parristechservices,ParrisTechServicesApp,repo,https://github.com/joshualparris/ParrisTechServicesApp,private-low,Josh,yes,no,Possible duplicate of ParrisTechApp
repo_joshtapapp,JoshTapApp,repo,https://github.com/joshualparris/JoshTapApp,private-low,Josh,yes,no,NFC tap app
repo_joshnfcaudio,JoshNFCAudio,repo,https://github.com/joshualparris/JoshNFCAudio,private-low,Josh,yes,no,NFC audio app — possible duplicate
repo_hugcoach,HugCoach,repo,https://github.com/joshualparris/HugCoach,private-low,Josh,yes,no,Life/admin app
repo_joshtapapp2,JoshTapApp,repo,https://github.com/joshualparris/JoshTapApp,private-low,Josh,yes,no,NFC tap app
repo_sleepy,Sleepy,repo,https://github.com/joshualparris/Sleepy,private-high,Josh,yes,no,Child/family app — flag for rename and privatise
repo_sylviephonetics,SylviePhonetics,repo,https://github.com/joshualparris/SylviePhonetics,private-high,Josh,yes,no,Child app — flag for rename and privatise
repo_sylvieapp,SylvieApp,repo,https://github.com/joshuaparris-max/SylvieApp,private-high,Josh,yes,no,Child app — flag for rename and privatise
repo_campaign_copilot,campaign-copilot,repo,https://github.com/joshuaparris-max/campaign-copilot,private-low,Josh,yes,no,D&D/TTRPG story tool
repo_realms_atlas,realms-atlas,repo,https://github.com/joshualparris/realms-atlas,private-low,Josh,yes,no,D&D/story world tool
repo_wastes_courier,wastes-courier-roguelike,repo,https://github.com/joshualparris/wastes-courier-roguelike,private-low,Josh,yes,no,Game project
